Timestamp,Text,Label
NA,"Good morning class, today we are going to learn about different types of sentences.",PRS
NA,The first type of sentence we will learn about is the declarative sentence.,NA
0:00:00,A declarative sentence makes a statement or expresses an opinion.,NA
0:00:04.836493,Can anyone give me an example of a declarative sentence?,OTR
0:00:08.955732,That's a perfect example! Declarative sentences end with a period.,NA
0:00:13.935406,"Next, we have interrogative sentences. These are sentences that ask a question.",NA
NA,Interrogative sentences end with a question mark.,NA
NA,Can someone give me an example of an interrogative sentence?,OTR
0:00:18.522713,Great job! That is indeed an interrogative sentence.,PRS
NA,"Now, let's move on to imperative sentences. These sentences give a command or make a request.",NA
NA,"Imperative sentences often end with a period, but they can also end with an exclamation mark if they are urgent.",NA
NA,Can someone give me an example of an imperative sentence?,OTR
0:00:23.462655,"Excellent! That sentence is giving a command, so it is an imperative sentence.",NA
0:00:28.123205,"Lastly, we have exclamatory sentences. These sentences express strong emotion.",NA
NA,Exclamatory sentences end with an exclamation mark.,NA
NA,Can someone give me an example of an exclamatory sentence?,OTR
NA,"Wonderful! That sentence is showing strong emotion, so it is an exclamatory sentence.",PRS
0:00:32.887211,"Now, let's write down examples of each type of sentence in our notebooks.",NA
NA,"Next, we are going to learn about prepositions.",NA
0:00:37.355827,Prepositions are words that show how nouns and pronouns relate to other words in a sentence.,NA
NA,Can someone give me an example of a preposition?,OTR
NA,"Exactly, 'on' is a preposition because it shows the relationship between two words in a sentence.",NA
0:00:41.429434,Let's write down some prepositions in our notebooks.,NA
NA,"Now, let's use prepositions to build sentences.",NA
0:00:45.960076,I'll start with a noun: 'The book'.,NA
0:00:50.408210,Can someone add a preposition to our sentence?,OTR
NA,"Great, now our sentence is: 'The book on the table'.",PRS
NA,Let's write down some of our own sentences using prepositions in our notebooks.,NA
NA,"Well done, everyone! You have learned a lot today.",PRS
0:00:54.804434,Remember to practice using these new sentences in your writing.,NA
0:00:59.324149,"For homework, please write a paragraph using different types of sentences and prepositions.",NA
NA,"Make sure to use declarative, interrogative, imperative, and exclamatory sentences in your paragraph.",NA
0:01:04.171904,Don't forget to use prepositions to show relationships between words.,NA
NA,I am looking forward to reading your paragraphs.,PRS
NA,"Have a great day, and remember to keep practicing your English!",NA
